scientific_name,latitude,longitude
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.03,-79.4
Bactris gasipaes,-0.02,-79.39
Bactris gasipaes,-0.02,-79.39
Bactris gasipaes,-0.02,-79.39
Bactris gasipaes,-11.23,-73.7
Bactris gasipaes,-12.47,-69.08
Bactris gasipaes,-12.47,-69.08
Bactris gasipaes,-12.47,-69.08
Bactris gasipaes,-12.47,-69.08
Bactris gasipaes,-12.47,-69.08
Bactris gasipaes,-12.47,-69.08
Bactris gasipaes,-12.47,-69.08
Bactris gasipaes,-11.29,-69.51
Bactris gasipaes,-11.15,-69.55
Bactris gasipaes,-11.15,-69.55
Bactris gasipaes,-11.15,-69.55
Bactris gasipaes,-11.15,-69.55
Bactris gasipaes,-11.15,-69.55
Bactris gasipaes,-11.15,-69.55
Bactris gasipaes,-12.51,-68.8
Bactris gasipaes,-12.51,-68.8
Bactris gasipaes,-12.51,-68.8
Bactris gasipaes,-12.5,-68.85
Bactris gasipaes,-12.5,-68.85
Bactris gasipaes,-12.5,-68.85
Bactris gasipaes,-6.91,-75.24
Bactris gasipaes,-7.03,-75.09
Bactris gasipaes,-7.2,-75.07
Bactris gasipaes,-3.65,-73.3
Bactris gasipaes,-3.65,-73.3
Bactris gasipaes,-0.541122,-77.430533
Bactris gasipaes,10.246339,-73.739522
Bactris gasipaes,10.246339,-73.739522
Bactris gasipaes,10.246339,-73.739522
Bactris gasipaes,-12.706061,-73.779241
Bactris gasipaes,-0.87652,-77.722946
Bactris gasipaes,-0.771853,-77.773241
Bactris gasipaes,-3.647588,-79.555022
Bactris gasipaes,-0.77246,-77.774913
Bactris gasipaes,-1.044826,-77.757985
Bactris gasipaes,-0.875773,-77.725301
Bactris gasipaes,-0.945913,-77.830458
Bactris gasipaes,-1.050585,-77.691283
Bactris gasipaes,0.481124,-79.184665
Bactris gasipaes,0.182348,-77.240515
Bactris gasipaes,-0.96035,-77.881902
Bactris gasipaes,-3.54192,-78.645929
Bactris gasipaes,-3.600535,-78.54703
Bactris gasipaes,-0.270421,-79.54175
Bactris gasipaes,-0.121864,-80.127578
Bactris gasipaes,-0.118023,-80.129768
Bactris gasipaes,-1.047602,-77.667039
Bactris gasipaes,-0.407613,-77.000336
Bactris gasipaes,-3.55085,-78.661732
Bactris gasipaes,-3.636386,-78.563652
Bactris gasipaes,-1.064489,-77.639228
Bactris gasipaes,-1.505454,-78.072879
Bactris gasipaes,-0.964613,-77.889817
Bactris gasipaes,-3.583702,-78.51586
Bactris gasipaes,-4.082008,-78.967061
Bactris gasipaes,-3.610603,-78.52858
Bactris gasipaes,-0.994516,-77.818618
Bactris gasipaes,-0.994514,-77.818786
Bactris gasipaes,-3.550967,-78.661647
Bactris gasipaes,-3.659147,-78.495568
Bactris gasipaes,-0.950944,-77.859242
Bactris gasipaes,0.16267,-79.064007
Bactris gasipaes,-0.735573,-76.887994
Bactris gasipaes,-0.315329,-78.95866
Bactris gasipaes,-0.321441,-78.951614
Bactris gasipaes,-0.694161,-77.730436
Bactris gasipaes,-1.068823,-80.886806
Bactris gasipaes,-0.439986,-80.348797
Bactris gasipaes,-3.628209,-78.580953
Bactris gasipaes,-0.985972,-77.810583
Bactris gasipaes,-3.337762,-79.739288
Bactris gasipaes,0.249163,-79.540765
Bactris gasipaes,-0.995596,-77.812968
Bactris gasipaes,-0.992607,-77.817595
Bactris gasipaes,0.154742,-79.224393
Bactris gasipaes,0.137791,-76.275639
Bactris gasipaes,0.131287,-78.676438
Bactris gasipaes,-0.077798,-78.989397
Bactris gasipaes,-0.987579,-77.811533
Bactris gasipaes,-1.831239,-78.183406
Bactris gasipaes,-0.925299,-77.820593
Bactris gasipaes,-0.96491,-77.857163
Bactris gasipaes,-0.892961,-77.807283
Bactris gasipaes,-4.085844,-78.93903
Bactris gasipaes,-1.652049,-77.916986
Bactris gasipaes,0.308986,-78.779328
Bactris gasipaes,0.0012,-78.939298
Bactris gasipaes,-3.33489,-79.706587
Bactris gasipaes,4.609187,-75.789995
Bactris gasipaes,-0.321388,-78.951713
Bactris gasipaes,-3.33497,-79.706908
Bactris gasipaes,10.451848,-74.051518
Bactris gasipaes,-3.446899,-78.464081
Bactris gasipaes,-1.617782,-77.8406
Bactris gasipaes,4.668259,-75.892707
Bactris gasipaes,4.668259,-75.892707
Bactris gasipaes,4.668259,-75.892707
Bactris gasipaes,4.413275,-75.93177
Bactris gasipaes,4.103324,-76.381972
Bactris gasipaes,4.163621,-76.34388
Bactris gasipaes,1.136778,-78.030806
Bactris gasipaes,6.114441,-77.397137
Bactris gasipaes,5.560244,-67.491053
Bactris gasipaes,-12.625454,-69.190221
Bactris gasipaes,1.304438,-75.980806
Bactris gasipaes,3.534612,-76.75341
Bactris gasipaes,5.154269,-74.167228
Bactris gasipaes,-4.201231,-69.943694
Bactris gasipaes,-3.736369,-70.493891
Bactris gasipaes,5.154269,-74.167228
Bactris gasipaes,5.154269,-74.167228
Bactris gasipaes,0.266667,-74.8667
Bactris gasipaes,5.154269,-74.167228
Bactris gasipaes,-0.317784,-78.927418
Bactris gasipaes,7.013,-76.280723
Bactris gasipaes,7.012218,-76.284614
Bactris gasipaes,7.012218,-76.284614
Bactris gasipaes,7.012218,-76.284614
Bactris gasipaes,7.012344,-76.284529
Bactris gasipaes,7.012344,-76.284529
Bactris gasipaes,7.012218,-76.284614
Bactris gasipaes,7.012218,-76.284614
Bactris gasipaes,7.012218,-76.284614
Bactris gasipaes,7.012344,-76.284529
Bactris gasipaes,7.012344,-76.284529
Bactris gasipaes,7.012344,-76.284529
Bactris gasipaes,7.012344,-76.284529
Bactris gasipaes,7.010929,-76.284731
Bactris gasipaes,11.25,-73.5
Bactris gasipaes,11.25,-73.5
Bactris gasipaes,11.25,-73.5
Bactris gasipaes,11.25,-73.5
Bactris gasipaes,11.25,-73.5
Bactris gasipaes,11.248761,-73.66724
Bactris gasipaes,11.248761,-73.66724
Bactris gasipaes,11.248761,-73.66724
Bactris gasipaes,11.248761,-73.66724
Bactris gasipaes,11.248761,-73.66724
Bactris gasipaes,11.248761,-73.66724
Bactris gasipaes,9.883339,-75.199972
Bactris gasipaes,9.883339,-75.199972
Bactris gasipaes,9.883339,-75.199972
Bactris gasipaes,9.883339,-75.199972
Bactris gasipaes,9.883339,-75.199972
Bactris gasipaes,9.883339,-75.199972
Bactris gasipaes,9.883339,-75.199972
Bactris gasipaes,9.883339,-75.199972
Bactris gasipaes,-9.616,-74.933
Bactris gasipaes,-0.233,-79.133
Bactris gasipaes,-0.733,-79.466
Bactris gasipaes,-2.633,-78.216
Bactris gasipaes,-0.3,-76.866
Bactris gasipaes,-0.333,-79.75
Bactris gasipaes,-0.533,-76.383
Bactris gasipaes,-12.519,-68.806
Bactris gasipaes,-7.033,-75.09
Bactris gasipaes,-6.903,-75.284
Bactris gasipaes,-7.206,-75.073
Bactris gasipaes,-0.9,-77.816
Bactris gasipaes,-0.662,-76.666
